#,Naam,Material cost,AH prijs,Profit,Margin,AH sales,Score,Ingredients
1,Prismarine Sinker,844,249.00M,244.02M,28900880.6%,1,0.600,1x Water Lily | 1x Prismarine Crystals | 1x Prismarine Shard
2,Hardened Diamond Leggings,9.3K,99.00M,97.01M,1042611.7%,1,0.510,7x Enchanted Diamond
3,Runaan's Bow,4.5K,50.00M,49.00M,1079799.6%,1,0.475,3x Enchanted Bone | 3x Enchanted String
4,Magma Lord Helmet,23.26M,275.00M,246.24M,1058.7%,1,0.473,5x Magma Lord Fragment
5,Enchanted Clock,2.99M,113.00M,107.75M,3598.2%,1,0.445,2x Enchanted Gold Block | 2x Highlite | 1x Enchanted Redstone Block
6,Pulse Ring,110.3K,34.00M,33.21M,30094.9%,1,0.410,8x Orb Of Energy
7,Blazetekk™ Ham Radio,3.20M,67.90M,63.34M,1981.1%,1,0.409,6x Molten Powder | 2x Inferno Vertex | 1x Enchanted Redstone Lamp
8,Burststopper Talisman,2.60M,57.99M,54.23M,2088.8%,1,0.402,4x Whipped Magma Cream | 4x Molten Powder | 1x Refined Titanium
9,Demonslayer Gauntlet,1.05M,44.80M,42.85M,4064.8%,1,0.398,2x Enchanted Glowstone | 3x Molten Powder | 3x Enchanted Rabbit Hide
10,Bait Ring,928.0K,34.50M,32.88M,3543.2%,1,0.382,9x Enchanted Ink Sack
11,Tactical Insertion,5.47M,48.50M,42.06M,769.2%,1,0.376,1x Tessellated Ender Pearl | 1x Inferno Vertex | 1x Molten Powder
12,Synthesizer v1,210.0K,21.00M,20.37M,9702.2%,1,0.370,5x X
13,Gyrokinetic Wand,1.43M,26.00M,24.05M,1679.9%,1,0.357,6x Null Ovoid | 1x Enchanted Eye Of Ender | 2x Enchanted Blaze Rod
14,Shimmering Light Hood,388.5K,16.00M,15.29M,3935.6%,1,0.344,3x X | 2x Enchanted Mycelium Cube
15,Fel Rose,345.6K,15.00M,14.35M,4154.0%,1,0.341,4x Fel Pearl | 1x Golem Poppy
