#,Naam,Material cost,AH prijs,Profit,Margin,AH sales,Score,Ingredients
1,Prismarine Sinker,844,249.00M,244.02M,28902134.5%,0,0.600,1x Water Lily | 1x Prismarine Crystals | 1x Prismarine Shard
2,Hardened Diamond Leggings,9.3K,99.00M,97.01M,1042557.5%,0,0.510,7x Enchanted Diamond
3,Magma Lord Helmet,23.44M,275.00M,246.06M,1049.7%,0,0.472,5x Magma Lord Fragment
4,Enchanted Clock,2.99M,113.00M,107.75M,3598.2%,0,0.445,2x Enchanted Gold Block | 2x Highlite | 1x Enchanted Redstone Block
5,Pulse Ring,110.3K,34.00M,33.21M,30094.9%,0,0.410,8x Orb Of Energy
6,Blazetekk™ Ham Radio,3.20M,67.90M,63.34M,1978.5%,0,0.409,6x Molten Powder | 2x Inferno Vertex | 1x Enchanted Redstone Lamp
7,Burststopper Talisman,2.60M,57.99M,54.23M,2088.0%,0,0.402,4x Whipped Magma Cream | 4x Molten Powder | 1x Refined Titanium
8,Demonslayer Gauntlet,1.05M,44.80M,42.85M,4064.8%,0,0.398,2x Enchanted Glowstone | 3x Molten Powder | 3x Enchanted Rabbit Hide
9,Bait Ring,928.0K,34.50M,32.88M,3543.2%,0,0.382,9x Enchanted Ink Sack
10,Tactical Insertion,5.47M,48.50M,42.06M,768.8%,0,0.376,1x Tessellated Ender Pearl | 1x Inferno Vertex | 1x Molten Powder
11,Synthesizer v1,210.0K,21.00M,20.37M,9702.2%,0,0.370,5x X
12,Gyrokinetic Wand,1.43M,26.00M,24.05M,1679.9%,0,0.357,6x Null Ovoid | 1x Enchanted Eye Of Ender | 2x Enchanted Blaze Rod
13,Shimmering Light Hood,388.5K,16.00M,15.29M,3935.6%,0,0.344,3x X | 2x Enchanted Mycelium Cube
14,Fel Rose,345.6K,15.00M,14.35M,4154.1%,0,0.341,4x Fel Pearl | 1x Golem Poppy
15,Travel Scroll to the Smoldering Tomb,3.50M,25.00M,21.00M,599.6%,0,0.337,4x Molten Powder | 2x Enchanted Blaze Rod | 2x Magma Fish Gold | 1x Inferno Vertex
16,Creeper Pants,6.1K,6.00M,5.87M,96605.0%,0,0.334,7x Enchanted Gunpowder
17,Bonemerang,4.01M,25.00M,20.49M,511.1%,0,0.334,3x Enchanted String | 2x Enchanted Bone Block | 1x Spirit Bone
18,Pumpkin Launcher,3.55M,24.00M,19.97M,563.3%,0,0.333,6x Pumpkin Guts | 2x Ectoplasm | 1x Pumpkin Bomb
19,Shimmering Light Trousers,986.6K,16.60M,15.28M,1548.8%,0,0.332,4x Enchanted Mycelium Cube | 1x Z | 2x Y
20,Catacombs Expert Ring,9.70M,33.50M,23.13M,238.5%,0,0.330,8x Wither Catalyst
